ID;SCORE2;SCORE3;SCORE4;SCORE5;SCORE6;COMPONENTE1;COMPONENTE2;COMPONENTE3;GRUPO2;GRUPO3;GRUPO4;GRUPO5
2213.0;0.0;0.0;0.0;1.6666666666666667;7.25;0.5896090455468346;-0.39249637456635345;-0.3107121376506125;0;0;2;3
2215.0;0.0;0.0;6.5;5.6;8.0;1.0412842662153725;-0.18025329272064494;0.14998611971977246;0;0;2;3
2217.0;4.0;5.0;7.0;3.0;0.0;0.30550944474905284;0.6964678142994154;0.08138400581337807;0;0;0;1
2218.0;1.125;1.625;1.0714285714285714;5.571428571428571;8.166666666666666;0.7912448269974776;-0.03853583660684355;-0.17197802914702498;0;0;2;3
2219.0;0.0;0.0;1.6666666666666667;3.8181818181818183;5.8;0.6615278153912552;-0.3595069046298286;-0.12165701033786931;0;0;2;3
2220.0;3.625;6.25;8.333333333333334;8.1875;9.75;1.0995493086297734;0.9541834424974109;0.26242027892075276;0;0;0;1
2221.0;3.0;6.5;9.0;9.6;10.0;1.2018491502060533;0.9165308631014841;0.43109652506209506;0;0;0;1
2222.0;0.0;0.0;3.5;4.636363636363637;9.0;0.9419382969229282;-0.2554222441122512;-0.058603687511958186;0;0;2;3
2243.0;3.0;0.0;0.0;3.4285714285714284;4.0;0.42944280510008676;-0.0200347086942142;-0.5433827231004242;0;0;2;3
2244.0;4.083333333333333;0.0;0.0;7.0;7.0;0.7402622909143312;0.18587367871681384;-0.6113701670012849;0;0;2;3
2245.0;3.0;0.0;0.0;0.0;0.0;0.05253459490867768;-0.09027900899725644;-0.5807259506736411;1;1;2;3
2246.0;5.0;7.5;8.0;3.5555555555555554;0.0;0.27073527919599244;1.0837132832378957;0.1968289957870205;0;0;0;1
2248.0;0.6666666666666666;0.0;1.4615384615384615;4.214285714285714;5.625;0.6380773576095544;-0.2743888856069762;-0.19045705798332704;0;0;2;3
2249.0;0.4166666666666667;6.166666666666667;5.9;7.666666666666667;4.25;0.7124366043761667;0.3464539342725582;0.6074071721807851;0;0;0;1
2250.0;1.7;5.0;7.75;4.166666666666667;9.5;0.9311697990977825;0.5459139496228421;0.25893015368999883;0;0;0;1
2251.0;0.0;0.0;0.0;3.230769230769231;9.333333333333334;0.7564711436729625;-0.3564381678063393;-0.29147359872611844;0;0;2;3
2252.0;0.0;0.0;0.0;2.5384615384615383;8.0;0.6506629813104697;-0.3785456798189145;-0.2887750477953441;0;0;2;3
2253.0;0.0;5.5;4.0;4.54;7.5;0.7081527849528508;0.2151515884209339;0.3482176068021813;0;0;0;1
2254.0;1.0;5.0;7.5;0.0;0.0;0.2134521844949288;0.28619132583217544;0.37399113729286293;0;0;0;1
2255.0;2.0;3.5;4.5;4.590909090909091;4.0;0.5580233459792914;0.28051520587689716;0.07732350325099899;0;0;0;1
2256.0;0.125;0.0;0.0;1.75;3.5;0.36022083906627533;-0.43132392941152553;-0.24271397567563063;0;1;2;3
2257.0;1.5;1.25;3.7;1.6;9.5;0.7704085257496368;0.0661992560830321;-0.2534679431243412;0;0;2;3
2258.0;2.0;5.25;5.5;6.375;9.5;0.9325208171130949;0.5501255010718794;0.19546428822265266;0;0;0;1
2259.0;1.5;0.0;1.25;3.5833333333333335;7.666666666666667;0.6995400942214816;-0.13594099476359617;-0.36001044321385667;0;0;2;3
2260.0;1.0;0.0;0.0;1.4375;1.8333333333333333;0.2390123757815702;-0.33593613958054064;-0.3252713311373388;0;1;2;3
2261.0;0.5;0.0;0.0;3.763157894736842;9.0;0.7495139544626338;-0.2905131722594145;-0.32535021444524104;0;0;2;3
2263.0;3.5;3.75;2.9;5.75;9.0;0.7995061880405443;0.5425311153278708;-0.2272417025984687;0;0;0;1
2264.0;0.375;0.0;2.3;5.4;9.25;0.9199299068725817;-0.23227095455216112;-0.13841706707843576;0;0;2;3
2265.0;0.0;1.1666666666666667;2.066666666666667;3.3260869565217392;4.916666666666667;0.5502711619035527;-0.26088983225509;-0.017468293009138852;0;0;2;3
2266.0;4.0;5.5;6.75;7.5;9.25;0.9754600900067374;0.8853632698035059;0.08138433998087438;0;0;0;1
2268.0;3.0;3.0;6.5;6.214285714285714;4.75;0.7377976662282324;0.4501120757773621;0.07351782695679782;0;0;0;1
2269.0;0.0;2.5;6.75;0.0;7.0;0.6514178296951953;0.013517910669857303;0.16357875550198825;0;0;2;3
2270.0;0.0;1.75;4.0;6.681818181818182;9.666666666666666;1.0169090938376222;-0.07237465311788802;0.1433418313122204;0;0;2;3
2272.0;3.5;1.2;2.5555555555555554;7.1;8.5;0.8831273822530006;0.30690108329263155;-0.35074882024547527;0;0;2;3
2274.0;0.0;0.0;0.0;3.4444444444444446;8.75;0.7217726383754839;-0.3645460039506305;-0.2688322050585331;0;0;2;3
2275.0;0.0;0.0;0.0;1.2857142857142858;8.0;0.5835141793361791;-0.3821099159878863;-0.3264712694196746;0;0;2;3
2276.0;1.4;0.0;0.0;3.1875;5.055555555555555;0.48334602023732687;-0.22673009570513591;-0.3737937503618711;0;0;2;3
2279.0;1.9166666666666667;1.75;1.1666666666666667;6.75;8.5;0.8206978956287669;0.09359376885156535;-0.20967342536938013;0;0;2;3
2280.0;1.1666666666666667;3.388888888888889;5.642857142857143;8.588235294117647;7.2;0.9579083390777882;0.24844695694318852;0.30733433469742266;0;0;0;1
